Shimmer_A5E0_Timestamp_Unix_CAL,Shimmer_A5E0_GSR_Skin_Conductance_CAL_uS,Shimmer_A5E0_GSR_Skin_Resistance_CAL_kOhm,Shimmer_A5E0_PPG_A13_CAL_mV,Shimmer_A5E0_Accel_LN_X_CAL_m/s^2,Shimmer_A5E0_Accel_LN_Y_CAL_m/s^2,Shimmer_A5E0_Accel_LN_Z_CAL_m/s^2,Shimmer_A5E0_Accel_WR_X_CAL_m/s^2,Shimmer_A5E0_Accel_WR_Y_CAL_m/s^2,Shimmer_A5E0_Accel_WR_Z_CAL_m/s^2,Shimmer_A5E0_Gyro_X_CAL_deg/s,Shimmer_A5E0_Gyro_Y_CAL_deg/s,Shimmer_A5E0_Gyro_Z_CAL_deg/s,Shimmer_A5E0_Mag_X_CAL_local,Shimmer_A5E0_Mag_Y_CAL_local,Shimmer_A5E0_Mag_Z_CAL_local,Shimmer_A5E0_Temperature_BMP280_CAL_Celcius,Shimmer_A5E0_Pressure_BMP280_CAL_Pa,Shimmer_A5E0_Ext_Exp_A7_CAL_mV,Shimmer_A5E0_VSenseBatt_CAL_mV,Shimmer_A5E0_PPGtoHR_CAL_BPM
1777487000,0.015299488896195116,65361.66056166056,2172.0,2220.0,1679.0,1325.0,3792.0,7220.0,-14120.0,632.0,-458.0,32.0,-457.0,-1289.0,-308.0,32768.0,5566464.0,2212.0,2688.0,0.0
1777743000,0.015299488896195116,65361.66056166056,2170.0,2220.0,1678.0,1327.0,3800.0,7228.0,-14076.0,626.0,-450.0,-3.0,-458.0,-1294.0,-311.0,32768.0,5566208.0,2236.0,2705.0,0.0
1777999000,0.015299488896195116,65361.66056166056,2144.0,2218.0,1680.0,1328.0,3752.0,7240.0,-14048.0,651.0,-386.0,-60.0,-458.0,-1294.0,-311.0,32768.0,5566208.0,2448.0,2685.0,0.0
1778255000,0.015299488896195116,65361.66056166056,2148.0,2222.0,1681.0,1327.0,3804.0,7200.0,-14008.0,579.0,-380.0,-65.0,-473.0,-1295.0,-309.0,32768.0,5565440.0,2344.0,2705.0,0.0
1778511000,0.015299488896195116,65361.66056166056,2199.0,2222.0,1678.0,1324.0,3836.0,7252.0,-14036.0,635.0,-341.0,-104.0,-456.0,-1295.0,-304.0,32768.0,5565440.0,2258.0,2689.0,0.0
1778767000,0.015299488896195116,65361.66056166056,2232.0,2218.0,1680.0,1324.0,3828.0,7196.0,-14076.0,710.0,-245.0,-145.0,-455.0,-1293.0,-311.0,32768.0,5566464.0,2259.0,2706.0,0.0
1779023000,0.015299488896195116,65361.66056166056,2245.0,2215.0,1683.0,1330.0,3700.0,7136.0,-13988.0,696.0,-254.0,-224.0,-455.0,-1293.0,-311.0,32768.0,5566464.0,2260.0,2706.0,0.0
1779279000,0.010267069159178435,97398.77899877899,2254.0,2220.0,1679.0,1330.0,3768.0,7188.0,-13992.0,652.0,-340.0,-206.0,-461.0,-1291.0,-309.0,32768.0,5566464.0,2258.0,2705.0,0.0
1779535000,0.010267069159178435,97398.77899877899,2244.0,2220.0,1683.0,1326.0,3808.0,7192.0,-14064.0,676.0,-348.0,-203.0,-458.0,-1295.0,-310.0,32768.0,5566464.0,2252.0,2704.0,0.0
1779791000,0.010267069159178435,97398.77899877899,2246.0,2224.0,1684.0,1332.0,3812.0,7156.0,-14008.0,663.0,-383.0,-210.0,-469.0,-1289.0,-307.0,32768.0,5566208.0,2256.0,2706.0,0.0
1780047000,0.010267069159178435,97398.77899877899,2252.0,2224.0,1686.0,1329.0,3932.0,7112.0,-14020.0,677.0,-407.0,-119.0,-466.0,-1290.0,-307.0,32768.0,5566208.0,2258.0,2706.0,0.0
1780303000,0.010267069159178435,97398.77899877899,2247.0,2223.0,1690.0,1329.0,3872.0,7044.0,-14004.0,637.0,-430.0,-113.0,-466.0,-1290.0,-307.0,32768.0,5565696.0,2251.0,2704.0,0.0
1780559000,0.010267069159178435,97398.77899877899,2235.0,2222.0,1686.0,1324.0,3872.0,7108.0,-14104.0,707.0,-412.0,-115.0,-464.0,-1293.0,-309.0,32768.0,5565696.0,2248.0,2704.0,0.0
1780815000,0.010267069159178435,97398.77899877899,2246.0,2224.0,1685.0,1326.0,3928.0,7096.0,-14032.0,687.0,-384.0,-136.0,-464.0,-1294.0,-311.0,32768.0,5566464.0,2255.0,2706.0,0.0
