Shimmer_A5E0_Timestamp_Unix_CAL,Shimmer_A5E0_GSR_Skin_Conductance_CAL_uS,Shimmer_A5E0_GSR_Skin_Resistance_CAL_kOhm,Shimmer_A5E0_PPG_A13_CAL_mV,Shimmer_A5E0_Accel_LN_X_CAL_m/s^2,Shimmer_A5E0_Accel_LN_Y_CAL_m/s^2,Shimmer_A5E0_Accel_LN_Z_CAL_m/s^2,Shimmer_A5E0_Accel_WR_X_CAL_m/s^2,Shimmer_A5E0_Accel_WR_Y_CAL_m/s^2,Shimmer_A5E0_Accel_WR_Z_CAL_m/s^2,Shimmer_A5E0_Gyro_X_CAL_deg/s,Shimmer_A5E0_Gyro_Y_CAL_deg/s,Shimmer_A5E0_Gyro_Z_CAL_deg/s,Shimmer_A5E0_Mag_X_CAL_local,Shimmer_A5E0_Mag_Y_CAL_local,Shimmer_A5E0_Mag_Z_CAL_local,Shimmer_A5E0_Temperature_BMP280_CAL_Celcius,Shimmer_A5E0_Pressure_BMP280_CAL_Pa,Shimmer_A5E0_Ext_Exp_A7_CAL_mV,Shimmer_A5E0_VSenseBatt_CAL_mV,Shimmer_A5E0_PPGtoHR_CAL_BPM
3545631000,0.7494509516837482,1334.3101343101343,2211.0,2045.0,2053.0,1224.0,440.0,-232.0,-16032.0,873.0,-350.0,-29.0,-69.0,-178.0,472.0,32768.0,5513984.0,2247.0,2816.0,0.0
3545887000,0.7494509516837482,1334.3101343101343,2252.0,2041.0,2053.0,1219.0,356.0,-272.0,-16140.0,895.0,-367.0,-5.0,-69.0,-178.0,472.0,32768.0,5513984.0,2250.0,2817.0,0.0
3546143000,0.7494509516837482,1334.3101343101343,2209.0,2041.0,2051.0,1218.0,360.0,-244.0,-16180.0,855.0,-358.0,-10.0,-66.0,-176.0,465.0,32768.0,5513984.0,2238.0,2816.0,0.0
3546399000,0.7494509516837482,1334.3101343101343,2190.0,2042.0,2052.0,1222.0,372.0,-280.0,-16124.0,859.0,-358.0,-18.0,-64.0,-179.0,467.0,32768.0,5513984.0,2240.0,2816.0,0.0
3546655000,0.7494509516837482,1334.3101343101343,2212.0,2043.0,2052.0,1223.0,416.0,-288.0,-16020.0,866.0,-349.0,-21.0,-66.0,-184.0,466.0,32768.0,5514240.0,2240.0,2816.0,0.0
3546911000,0.7494509516837482,1334.3101343101343,2187.0,2044.0,2052.0,1223.0,416.0,-268.0,-16096.0,869.0,-365.0,-45.0,-66.0,-184.0,466.0,32768.0,5514240.0,2247.0,2817.0,0.0
3547167000,0.7494509516837482,1334.3101343101343,2282.0,2043.0,2052.0,1222.0,404.0,-284.0,-16108.0,872.0,-342.0,-32.0,-71.0,-178.0,474.0,32768.0,5515008.0,2497.0,2815.0,0.0
3547423000,0.7494509516837482,1334.3101343101343,2243.0,2042.0,2053.0,1220.0,392.0,-264.0,-16088.0,870.0,-350.0,-36.0,-69.0,-183.0,473.0,32768.0,5515008.0,2357.0,2816.0,0.0
3547679000,0.02998857578065499,33346.031746031746,2303.0,2041.0,2053.0,1218.0,384.0,-292.0,-16128.0,871.0,-359.0,-27.0,-68.0,-182.0,470.0,32768.0,5514240.0,2300.0,2817.0,0.0
3547935000,0.02998857578065499,33346.031746031746,2344.0,2041.0,2050.0,1223.0,376.0,-256.0,-16184.0,865.0,-355.0,-22.0,-63.0,-188.0,471.0,32768.0,5514240.0,2275.0,2817.0,0.0
3548191000,0.02998857578065499,33346.031746031746,2271.0,2043.0,2051.0,1226.0,448.0,-276.0,-16100.0,871.0,-341.0,-16.0,-63.0,-188.0,471.0,32768.0,5514752.0,2256.0,2816.0,0.0
3548447000,0.02998857578065499,33346.031746031746,2265.0,2043.0,2053.0,1224.0,432.0,-256.0,-16116.0,864.0,-356.0,-15.0,-66.0,-172.0,472.0,32768.0,5514752.0,2248.0,2816.0,0.0
3548703000,0.02998857578065499,33346.031746031746,2254.0,2043.0,2052.0,1223.0,412.0,-252.0,-16064.0,875.0,-339.0,-25.0,-63.0,-180.0,471.0,32768.0,5514496.0,2250.0,2817.0,0.0
3548959000,0.02998857578065499,33346.031746031746,2220.0,2042.0,2053.0,1220.0,404.0,-272.0,-16112.0,875.0,-355.0,-17.0,-58.0,-174.0,469.0,32768.0,5514496.0,2252.0,2817.0,0.0
3549215000,0.02998857578065499,33346.031746031746,2230.0,2042.0,2052.0,1221.0,412.0,-256.0,-16160.0,857.0,-339.0,-31.0,-64.0,-179.0,470.0,32768.0,5514752.0,2459.0,2795.0,0.0
3549471000,0.02998857578065499,33346.031746031746,2155.0,2044.0,2051.0,1223.0,392.0,-252.0,-16140.0,873.0,-355.0,-29.0,-64.0,-179.0,470.0,32768.0,5514752.0,2562.0,2799.0,0.0
3549727000,0.02998857578065499,33346.031746031746,2259.0,2044.0,2052.0,1225.0,416.0,-256.0,-16076.0,873.0,-346.0,-24.0,-68.0,-181.0,471.0,32768.0,5514496.0,2394.0,2817.0,0.0
3549983000,0.02998857578065499,33346.031746031746,2169.0,2043.0,2053.0,1227.0,412.0,-300.0,-16032.0,884.0,-356.0,-39.0,-75.0,-180.0,467.0,32768.0,5514496.0,2317.0,2817.0,0.0
3550239000,0.02998857578065499,33346.031746031746,2213.0,2042.0,2053.0,1221.0,412.0,-296.0,-16096.0,878.0,-346.0,-20.0,-70.0,-179.0,469.0,32768.0,5514752.0,2275.0,2816.0,0.0
3550495000,0.015299488896195116,65361.66056166056,2322.0,2044.0,2052.0,1220.0,416.0,-304.0,-16168.0,867.0,-350.0,-34.0,-71.0,-181.0,475.0,32768.0,5514752.0,2510.0,2815.0,0.0
3550751000,0.015299488896195116,65361.66056166056,2270.0,2042.0,2051.0,1221.0,416.0,-308.0,-16140.0,880.0,-358.0,-29.0,-71.0,-181.0,475.0,32768.0,5515008.0,2363.0,2816.0,0.0
3551007000,0.015299488896195116,65361.66056166056,2341.0,2042.0,2052.0,1225.0,396.0,-284.0,-16048.0,868.0,-362.0,-27.0,-70.0,-184.0,473.0,32768.0,5515008.0,2303.0,2817.0,0.0
3551263000,0.015299488896195116,65361.66056166056,2343.0,2043.0,2053.0,1223.0,404.0,-272.0,-16068.0,856.0,-344.0,-35.0,-77.0,-179.0,466.0,32768.0,5515008.0,2269.0,2816.0,0.0
3551519000,0.015299488896195116,65361.66056166056,2254.0,2043.0,2052.0,1221.0,420.0,-304.0,-16080.0,859.0,-343.0,-29.0,-62.0,-179.0,469.0,32768.0,5515008.0,2470.0,2800.0,0.0
3551775000,0.015299488896195116,65361.66056166056,2235.0,2044.0,2053.0,1221.0,416.0,-304.0,-16144.0,880.0,-356.0,-36.0,-62.0,-179.0,469.0,32768.0,5514496.0,2344.0,2816.0,0.0
3552031000,0.015299488896195116,65361.66056166056,2297.0,2042.0,2050.0,1220.0,372.0,-296.0,-16112.0,873.0,-350.0,-19.0,-71.0,-181.0,468.0,32768.0,5514496.0,2296.0,2818.0,0.0
3552287000,0.015299488896195116,65361.66056166056,2284.0,2041.0,2052.0,1225.0,372.0,-236.0,-16084.0,865.0,-347.0,-13.0,-64.0,-179.0,472.0,32768.0,5515008.0,2266.0,2816.0,0.0
3552543000,0.015299488896195116,65361.66056166056,2287.0,2042.0,2052.0,1223.0,452.0,-272.0,-16080.0,865.0,-332.0,-26.0,-63.0,-183.0,469.0,32768.0,5515008.0,2252.0,2816.0,0.0
3552799000,0.015299488896195116,65361.66056166056,2223.0,2044.0,2052.0,1223.0,460.0,-268.0,-16064.0,890.0,-334.0,-17.0,-83.0,-185.0,473.0,32768.0,5514752.0,2245.0,2816.0,0.0
3553055000,0.015299488896195116,65361.66056166056,2250.0,2044.0,2052.0,1224.0,476.0,-248.0,-16116.0,888.0,-327.0,-23.0,-83.0,-185.0,473.0,32768.0,5514752.0,2250.0,2817.0,0.0
3553311000,0.010266863228834468,97400.73260073259,2227.0,2042.0,2053.0,1221.0,448.0,-252.0,-16060.0,876.0,-359.0,-10.0,-66.0,-179.0,472.0,32768.0,5515264.0,2244.0,2816.0,0.0
3553567000,0.010266863228834468,97400.73260073259,2183.0,2043.0,2052.0,1219.0,388.0,-268.0,-16092.0,860.0,-354.0,-32.0,-62.0,-177.0,468.0,32768.0,5515264.0,2459.0,2800.0,0.0
3553823000,0.010266863228834468,97400.73260073259,2204.0,2043.0,2051.0,1223.0,428.0,-240.0,-16128.0,880.0,-333.0,-24.0,-63.0,-179.0,472.0,32768.0,5514752.0,2346.0,2817.0,0.0
3554079000,0.010266863228834468,97400.73260073259,2235.0,2042.0,2053.0,1222.0,396.0,-304.0,-16096.0,875.0,-345.0,-21.0,-66.0,-178.0,470.0,32768.0,5514752.0,2497.0,2796.0,0.0
3554335000,0.010266863228834468,97400.73260073259,2298.0,2043.0,2053.0,1223.0,408.0,-284.0,-16072.0,875.0,-359.0,-15.0,-66.0,-178.0,470.0,32768.0,5514752.0,2611.0,2815.0,0.0
3554591000,0.010266863228834468,97400.73260073259,2359.0,2043.0,2052.0,1221.0,392.0,-292.0,-16080.0,863.0,-352.0,-31.0,-67.0,-185.0,467.0,32768.0,5514752.0,2627.0,2800.0,0.0
3554847000,0.010266863228834468,97400.73260073259,2378.0,2042.0,2052.0,1221.0,464.0,-260.0,-16112.0,873.0,-339.0,-24.0,-73.0,-181.0,469.0,32768.0,5515008.0,2424.0,2817.0,0.0
3555103000,0.010266863228834468,97400.73260073259,2287.0,2042.0,2053.0,1223.0,400.0,-272.0,-16100.0,872.0,-350.0,-25.0,-74.0,-181.0,466.0,32768.0,5515008.0,2331.0,2817.0,0.0
3555359000,0.010266863228834468,97400.73260073259,2292.0,2044.0,2052.0,1221.0,444.0,-264.0,-16108.0,862.0,-356.0,-27.0,-71.0,-185.0,469.0,32768.0,5515520.0,2281.0,2816.0,0.0
3555615000,0.010266863228834468,97400.73260073259,2271.0,2041.0,2051.0,1221.0,388.0,-268.0,-16084.0,885.0,-341.0,-38.0,-71.0,-185.0,469.0,32768.0,5515520.0,2476.0,2800.0,0.0
3555871000,0.010266863228834468,97400.73260073259,2258.0,2044.0,2052.0,1220.0,440.0,-280.0,-16092.0,850.0,-342.0,-14.0,-67.0,-178.0,469.0,32768.0,5515264.0,2355.0,2818.0,0.0
3556127000,0.010266863228834468,97400.73260073259,2302.0,2045.0,2051.0,1224.0,452.0,-260.0,-16064.0,861.0,-339.0,-15.0,-79.0,-180.0,469.0,32768.0,5515264.0,2301.0,2818.0,0.0
3556383000,0.010266863228834468,97400.73260073259,2329.0,2043.0,2052.0,1222.0,428.0,-260.0,-16088.0,877.0,-344.0,-15.0,-66.0,-182.0,474.0,32768.0,5514496.0,2268.0,2816.0,0.0
3556639000,0.010266863228834468,97400.73260073259,2331.0,2043.0,2052.0,1222.0,456.0,-256.0,-16076.0,870.0,-368.0,-27.0,-66.0,-182.0,474.0,32768.0,5514496.0,2506.0,2815.0,0.0
3556895000,0.010266863228834468,97400.73260073259,2290.0,2042.0,2053.0,1222.0,436.0,-328.0,-16080.0,877.0,-355.0,-41.0,-67.0,-178.0,471.0,32768.0,5515264.0,2368.0,2817.0,0.0
3557151000,0.010266863228834468,97400.73260073259,2174.0,2043.0,2052.0,1225.0,420.0,-300.0,-16064.0,874.0,-382.0,-22.0,-63.0,-177.0,468.0,32768.0,5515264.0,2305.0,2817.0,0.0
3557407000,0.010266863228834468,97400.73260073259,2204.0,2042.0,2054.0,1225.0,424.0,-292.0,-16040.0,876.0,-350.0,-35.0,-66.0,-176.0,469.0,32768.0,5515264.0,2270.0,2816.0,0.0
3557663000,0.010266863228834468,97400.73260073259,2245.0,2042.0,2051.0,1221.0,436.0,-284.0,-16100.0,867.0,-352.0,-33.0,-57.0,-178.0,469.0,32768.0,5515264.0,2476.0,2799.0,0.0
3557919000,0.010266863228834468,97400.73260073259,2203.0,2042.0,2052.0,1222.0,432.0,-296.0,-16092.0,863.0,-349.0,-29.0,-57.0,-178.0,469.0,32768.0,5515264.0,2347.0,2816.0,0.0
3558175000,0.010266863228834468,97400.73260073259,2252.0,2041.0,2052.0,1224.0,428.0,-280.0,-16060.0,863.0,-349.0,-29.0,-67.0,-186.0,467.0,32768.0,5515264.0,2498.0,2796.0,0.0
3558431000,0.010266863228834468,97400.73260073259,2262.0,2043.0,2050.0,1224.0,448.0,-256.0,-16064.0,877.0,-347.0,-24.0,-64.0,-175.0,468.0,32768.0,5515520.0,2357.0,2816.0,0.0
3558687000,0.010266863228834468,97400.73260073259,2293.0,2045.0,2050.0,1224.0,460.0,-224.0,-16032.0,873.0,-349.0,-22.0,-60.0,-180.0,471.0,32768.0,5515520.0,2294.0,2816.0,0.0
3558943000,0.010266863228834468,97400.73260073259,2364.0,2046.0,2053.0,1238.0,456.0,-320.0,-15768.0,865.0,-362.0,-22.0,-70.0,-179.0,467.0,32768.0,5514496.0,2518.0,2815.0,0.0
3559199000,0.010266863228834468,97400.73260073259,2280.0,2041.0,2051.0,1197.0,380.0,-244.0,-16668.0,873.0,-375.0,-45.0,-70.0,-179.0,467.0,32768.0,5514496.0,2576.0,2796.0,0.0
3559455000,0.010266863228834468,97400.73260073259,2302.0,2039.0,2048.0,1228.0,368.0,-212.0,-15900.0,859.0,-328.0,-30.0,-71.0,-183.0,475.0,32768.0,5515008.0,2400.0,2817.0,0.0
3559711000,0.010266863228834468,97400.73260073259,2416.0,2041.0,2052.0,1228.0,360.0,-232.0,-16000.0,871.0,-364.0,-33.0,-71.0,-176.0,471.0,32768.0,5515008.0,2537.0,2801.0,0.0
3559967000,0.010266863228834468,97400.73260073259,2335.0,2048.0,2052.0,1230.0,528.0,-276.0,-15972.0,879.0,-370.0,-25.0,-66.0,-174.0,469.0,32768.0,5515264.0,2375.0,2816.0,0.0
3560223000,0.010266863228834468,97400.73260073259,2384.0,2050.0,2056.0,1264.0,544.0,-380.0,-15320.0,883.0,-364.0,-20.0,-66.0,-174.0,469.0,32768.0,5515264.0,2302.0,2816.0,0.0
3560479000,0.010266863228834468,97400.73260073259,2413.0,2034.0,2053.0,1142.0,228.0,-260.0,-17812.0,854.0,-397.0,-40.0,-64.0,-176.0,473.0,32768.0,5515520.0,2522.0,2815.0,0.0
3560735000,0.010266863228834468,97400.73260073259,2377.0,2035.0,2050.0,1251.0,328.0,-232.0,-15104.0,883.0,-302.0,-39.0,-70.0,-177.0,469.0,32768.0,5515520.0,2623.0,2815.0,0.0
3560991000,0.010266863228834468,97400.73260073259,2449.0,2040.0,2052.0,1237.0,332.0,-224.0,-15568.0,858.0,-329.0,-30.0,-66.0,-179.0,471.0,32768.0,5515264.0,2422.0,2817.0,0.0
3561247000,0.010266863228834468,97400.73260073259,2267.0,2051.0,2054.0,1206.0,632.0,-296.0,-16504.0,865.0,-380.0,-31.0,-60.0,-184.0,467.0,32768.0,5515264.0,2330.0,2817.0,0.0
3561503000,0.010266863228834468,97400.73260073259,2364.0,2052.0,2054.0,1248.0,720.0,-332.0,-15884.0,910.0,-322.0,-23.0,-60.0,-184.0,467.0,32768.0,5515520.0,2535.0,2815.0,0.0
3561759000,0.010266863228834468,97400.73260073259,2351.0,2034.0,2049.0,1212.0,312.0,-196.0,-16304.0,851.0,-358.0,-36.0,-60.0,-174.0,467.0,32768.0,5515520.0,2375.0,2816.0,0.0
3562015000,0.010266863228834468,97400.73260073259,2157.0,2031.0,2048.0,1212.0,188.0,-188.0,-16500.0,899.0,-333.0,-31.0,-65.0,-179.0,469.0,32768.0,5515776.0,2308.0,2817.0,0.0
3562271000,0.010266863228834468,97400.73260073259,2275.0,2044.0,2051.0,1229.0,460.0,-296.0,-15948.0,866.0,-321.0,-9.0,-61.0,-180.0,474.0,32768.0,5515776.0,2279.0,2818.0,0.0
3562527000,0.010266863228834468,97400.73260073259,2316.0,2050.0,2056.0,1223.0,628.0,-352.0,-16192.0,868.0,-351.0,-16.0,-62.0,-178.0,463.0,32768.0,5515776.0,2511.0,2815.0,0.0
3562783000,0.010266863228834468,97400.73260073259,2255.0,2046.0,2052.0,1231.0,536.0,-296.0,-15960.0,860.0,-357.0,-17.0,-62.0,-178.0,463.0,32768.0,5515776.0,2581.0,2800.0,0.0
3563039000,0.010266863228834468,97400.73260073259,2342.0,2039.0,2050.0,1231.0,400.0,-232.0,-15924.0,858.0,-332.0,-30.0,-67.0,-176.0,473.0,32768.0,5515776.0,2402.0,2817.0,0.0
3563295000,0.010266863228834468,97400.73260073259,2187.0,2038.0,2052.0,1212.0,348.0,-268.0,-16224.0,884.0,-325.0,-28.0,-67.0,-178.0,471.0,32768.0,5515776.0,2323.0,2818.0,0.0
3563551000,0.010266863228834468,97400.73260073259,2293.0,2042.0,2056.0,1202.0,424.0,-344.0,-16472.0,864.0,-356.0,-27.0,-66.0,-179.0,474.0,32768.0,5516032.0,2285.0,2817.0,0.0
3563807000,0.010266863228834468,97400.73260073259,2264.0,2044.0,2056.0,1232.0,476.0,-324.0,-16120.0,880.0,-325.0,-24.0,-74.0,-178.0,468.0,32768.0,5516032.0,2477.0,2800.0,0.0
3564063000,0.010266863228834468,97400.73260073259,2204.0,2044.0,2052.0,1238.0,480.0,-304.0,-15744.0,865.0,-345.0,-31.0,-74.0,-178.0,468.0,32768.0,5515264.0,2348.0,2816.0,0.0
